date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:02:43	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2030%20Nov%202021%2011:32:36%20GMT	https://s4shanmugsundar.wixsite.com/1bbe301d.min.css	C:/xampp/htdocs/HTTrack/S4%20Wix/s4shanmugsundar.wixsite.com/1bbe301d.min.css	(from https://s4shanmugsundar.wixsite.com/website)
17:02:47	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2030%20Nov%202021%2011:32:42%20GMT	https://s4shanmugsundar.wixsite.com/e78a13b3.min.css	C:/xampp/htdocs/HTTrack/S4%20Wix/s4shanmugsundar.wixsite.com/e78a13b3.min.css	(from https://s4shanmugsundar.wixsite.com/website)
17:02:47	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2030%20Nov%202021%2011:32:46%20GMT	https://s4shanmugsundar.wixsite.com/b604fd33.min.css	C:/xampp/htdocs/HTTrack/S4%20Wix/s4shanmugsundar.wixsite.com/b604fd33.min.css	(from https://s4shanmugsundar.wixsite.com/website)
17:02:47	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2030%20Nov%202021%2011:32:46%20GMT	https://s4shanmugsundar.wixsite.com/48c6d58d.min.css	C:/xampp/htdocs/HTTrack/S4%20Wix/s4shanmugsundar.wixsite.com/48c6d58d.min.css	(from https://s4shanmugsundar.wixsite.com/website)
17:02:48	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2030%20Nov%202021%2011:32:47%20GMT	https://s4shanmugsundar.wixsite.com/439c90c8.min.css	C:/xampp/htdocs/HTTrack/S4%20Wix/s4shanmugsundar.wixsite.com/439c90c8.min.css	(from https://s4shanmugsundar.wixsite.com/website)
17:02:48	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2030%20Nov%202021%2011:32:47%20GMT	https://s4shanmugsundar.wixsite.com/cd69f57c.min.css	C:/xampp/htdocs/HTTrack/S4%20Wix/s4shanmugsundar.wixsite.com/cd69f57c.min.css	(from https://s4shanmugsundar.wixsite.com/website)
17:02:48	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2030%20Nov%202021%2011:32:47%20GMT	https://s4shanmugsundar.wixsite.com/bc223d50.min.css	C:/xampp/htdocs/HTTrack/S4%20Wix/s4shanmugsundar.wixsite.com/bc223d50.min.css	(from https://s4shanmugsundar.wixsite.com/website)
17:02:48	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2030%20Nov%202021%2011:32:47%20GMT	https://s4shanmugsundar.wixsite.com/bc2466c0.min.css	C:/xampp/htdocs/HTTrack/S4%20Wix/s4shanmugsundar.wixsite.com/bc2466c0.min.css	(from https://s4shanmugsundar.wixsite.com/website)
17:02:49	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2030%20Nov%202021%2011:32:48%20GMT	https://s4shanmugsundar.wixsite.com/5d7b6bbf.min.css	C:/xampp/htdocs/HTTrack/S4%20Wix/s4shanmugsundar.wixsite.com/5d7b6bbf.min.css	(from https://s4shanmugsundar.wixsite.com/website)
17:02:49	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2030%20Nov%202021%2011:32:48%20GMT	https://s4shanmugsundar.wixsite.com/3fdab364.min.css	C:/xampp/htdocs/HTTrack/S4%20Wix/s4shanmugsundar.wixsite.com/3fdab364.min.css	(from https://s4shanmugsundar.wixsite.com/website)
